Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
himmelblau,"[-3.7814, -3.2816]",0.00045,0.0015,0.7,"[-3.8182, 3.4522]",31,good,-3.8182,3.4522,7.2704,12,5
himmelblau,"[1.3246, 1.3246]",78.11068,0.0015,0.7,"[-0.2888, 1.3246]",52,bad,-0.2888,1.3246,1.6134,0,5
himmelblau,"[1.8534, 1.8534]",35.55191,0.001,0.9,"[-0.5573, 1.8534]",52,bad,-0.5573,1.8534,2.4107,1,7
himmelblau,"[-3.7764, -3.2818]",0.00045,0.001,0.5,"[-4.0158, 1.2364]",38,good,-4.0158,1.2364,5.252199999999999,7,3
himmelblau,"[2.9966, 2.0026]",0.00036,0.0,0.8,"[-0.8821, 4.4032]",33,good,-0.8821,4.4032,5.2853,7,6
himmelblau,"[-2.8035, 3.1333]",0.00025,0.0013,0.8,"[-3.386, 3.8004]",40,good,-3.386,3.8004,7.1864,12,6
himmelblau,"[-3.374, -3.152]",7.85638,0.004,0.7,"[-3.374, 2.7768]",172,bad,-3.374,2.7768,6.1508,9,5
himmelblau,"[-2.5577, -2.5577]",58.31552,0.001,0.9,"[-2.5577, 0.2366]",51,bad,-2.5577,0.2366,2.7943000000000002,2,7
himmelblau,"[-1.6881, 3.0838]",26.34662,0.004,0.4,"[-1.6881, 4.2846]",191,bad,-1.6881,4.2846,5.9727,9,2
himmelblau,"[3.002, 2.0006]",0.00017,0.001,0.2,"[-1.2295, 4.5022]",40,good,-1.2295,4.5022,5.7317,8,0
himmelblau,"[0.4082, -1.71]",170.78823,0.0031,0.2,"[-4.011, 0.4082]",142,bad,-4.011,0.4082,4.4192,6,0
himmelblau,"[3.0052, 1.9994]",0.00093,0.0007,0.7,"[-2.1732, 4.7677]",30,good,-2.1732,4.7677,6.940899999999999,11,5
himmelblau,"[2.9966, 1.9968]",0.00082,0.0,0.2,"[-0.8387, 4.8007]",31,good,-0.8387,4.8007,5.6394,8,0
himmelblau,"[-3.7775, -3.279]",0.00075,0.001,0.7,"[-4.4557, 3.1653]",26,good,-4.4557,3.1653,7.621,13,5
himmelblau,"[2.9979, 2.0028]",0.00017,0.0015,0.7,"[-2.3711, 4.9766]",35,good,-2.3711,4.9766,7.347700000000001,12,5
himmelblau,"[-3.7825, -3.2869]",0.00086,0.0,1.0,"[-4.9739, 2.3232]",38,good,-4.9739,2.3232,7.2971,12,8
himmelblau,"[2.2797, 2.2797]",12.6415,0.001,0.3,"[-2.3949, 2.2797]",54,bad,-2.3949,2.2797,4.6746,6,1
himmelblau,"[3.0046, 1.9998]",0.00077,0.001,0.3,"[-3.2691, 3.9397]",27,good,-3.2691,3.9397,7.2088,12,1
himmelblau,"[2.9976, 2.0043]",0.00033,0.0015,0.5,"[-1.082, 4.2607]",30,good,-1.082,4.2607,5.3427,7,3
himmelblau,"[0.4056, 0.4056]",150.12349,0.001,0.4,"[-1.1034, 0.4056]",55,bad,-1.1034,0.4056,1.509,0,2
himmelblau,"[3.0052, 1.9979]",0.00084,0.0015,0.4,"[-0.827, 3.1161]",26,good,-0.827,3.1161,3.9431,4,2
himmelblau,"[0.4031, 0.4031]",150.2766,0.001,0.5,"[-4.9765, 0.4031]",52,bad,-4.9765,0.4031,5.3796,8,3
himmelblau,"[-1.7979, -1.7979]",122.47001,0.001,0.5,"[-1.7979, 3.0553]",52,bad,-1.7979,3.0553,4.8532,7,3
himmelblau,"[-1.12, 0.036]",160.18942,0.001,0.5,"[-1.12, 0.036]",54,bad,-1.12,0.036,1.1560000000000001,0,3
himmelblau,"[-2.3394, 3.1186]",5.95021,0.0041,0.8,"[-2.3394, 4.3321]",193,bad,-2.3394,4.3321,6.6715,10,6
himmelblau,"[-3.7777, -3.2813]",0.00022,0.0005,0.7,"[-4.3173, 3.4235]",38,good,-4.3173,3.4235,7.7408,13,5
himmelblau,"[1.3634, 1.3634]",74.76271,0.001,0.6,"[-0.0396, 1.3634]",52,bad,-0.0396,1.3634,1.403,0,4
himmelblau,"[-1.4951, 2.6679]",39.06964,0.001,0.6,"[-1.4951, 2.6679]",52,bad,-1.4951,2.6679,4.163,5,4
himmelblau,"[3.0037, 1.9989]",0.00045,0.001,0.3,"[-1.6419, 4.6967]",30,good,-1.6419,4.6967,6.3386,10,1
himmelblau,"[-2.0913, 0.6455]",111.01997,0.001,0.3,"[-2.0913, 0.6455]",53,bad,-2.0913,0.6455,2.7367999999999997,2,1
himmelblau,"[-2.8117, 2.2487]",23.32466,0.003,0.9,"[-3.6504, 2.2487]",169,bad,-3.6504,2.2487,5.8991,9,7
himmelblau,"[3.0007, 1.9964]",0.00019,0.0,0.8,"[-0.2221, 4.7058]",18,good,-0.2221,4.7058,4.9279,7,6
himmelblau,"[-1.9227, 3.0986]",18.1392,0.004,0.6,"[-1.9227, 3.8495]",188,bad,-1.9227,3.8495,5.7722,8,4
himmelblau,"[2.5535, 2.2255]",5.33667,0.0035,0.5,"[-0.3016, 2.5535]",164,bad,-0.3016,2.5535,2.8551,2,3
himmelblau,"[-3.7771, -3.2814]",0.00032,0.001,0.5,"[-4.6345, 0.5707]",27,good,-4.6345,0.5707,5.2052,7,3
himmelblau,"[-3.7818, -3.2855]",0.00042,0.0,0.8,"[-4.5982, 0.1473]",28,good,-4.5982,0.1473,4.7455,6,6
himmelblau,"[1.8079, 1.8079]",38.78936,0.001,0.9,"[-2.4188, 1.8079]",53,bad,-2.4188,1.8079,4.2267,5,7
himmelblau,"[2.995, 2.0006]",0.00088,0.001,0.9,"[-2.3278, 4.7064]",40,good,-2.3278,4.7064,7.0342,11,7
himmelblau,"[3.497, -0.8258]",8.12047,0.0036,0.8,"[-0.8258, 3.8643]",168,bad,-0.8258,3.8643,4.6901,6,6
himmelblau,"[-3.777, -3.2785]",0.00097,0.001,0.4,"[-3.8661, 2.9675]",35,good,-3.8661,2.9675,6.8336,11,2
